step,customer,age,gender,merchant,category,amount,fraud,amount_zscore,anomaly_type
173,C350034124,1,F,M151143676,es_barsandrestaurants,695.63,1,16.981810507050625,montant_élevé
127,C1869939691,4,F,M151143676,es_barsandrestaurants,655.59,1,15.939210035493096,montant_élevé
112,C1468001998,3,F,M151143676,es_barsandrestaurants,558.5,1,13.411086164775801,montant_élevé
141,C413065793,2,F,M547558035,es_fashion,773.61,1,12.758515909148747,montant_élevé
167,C1560904250,5,F,M480139044,es_health,1972.81,1,11.995164994789079,montant_élevé
12,C2087715408,3,F,M151143676,es_barsandrestaurants,500.54,1,11.901867300353363,montant_élevé
35,C1275518867,5,F,M547558035,es_fashion,705.42,1,11.529599512807648,montant_élevé
169,C910454738,4,F,M151143676,es_barsandrestaurants,480.63,1,11.38343135158437,montant_élevé
150,C245117318,3,F,M480139044,es_health,1795.12,1,10.83501147034148,montant_élevé
100,C553434543,2,M,M547558035,es_fashion,657.5,1,10.66598793174495,montant_élevé
158,C1586862598,3,M,M1198415165,es_wellnessandbeauty,750.51,1,10.472561375615227,montant_élevé
71,C2004941826,2,F,M480139044,es_health,1717.73,1,10.329725403275244,montant_élevé
118,C667215072,3,F,M547558035,es_fashion,625.81,1,10.094872510128154,montant_élevé
142,C1175850429,4,M,M480139044,es_health,1658.57,1,9.943464597904544,montant_élevé
27,C1312615175,4,F,M1198415165,es_wellnessandbeauty,713.98,1,9.91407473479305,montant_élevé
21,C1947400039,2,M,M855959430,es_hyper,488.02,1,9.707170648921597,montant_élevé
125,C309177915,3,M,M547558035,es_fashion,601.4,1,9.654956844565957,montant_élevé
161,C381007057,1,F,M480139044,es_health,1608.95,1,9.61949128548916,montant_élevé
38,C231476583,1,M,M855959430,es_hyper,477.46,1,9.475278736732074,montant_élevé
90,C1475317372,1,F,M1535107174,es_wellnessandbeauty,685.16,1,9.473461951094853,montant_élevé
115,C694265356,3,F,M840466850,es_tech,1305.35,1,9.322720473194195,montant_élevé
167,C870503362,2,F,M1198415165,es_wellnessandbeauty,665.98,1,9.180229709896679,montant_élevé
178,C381007057,1,F,M855959430,es_hyper,460.33,1,9.099113163265546,montant_élevé
99,C2130894809,2,F,M1198415165,es_wellnessandbeauty,659.1,1,9.075045256328199,montant_élevé
97,C723509264,4,F,M1535107174,es_wellnessandbeauty,656.62,1,9.037129930041887,montant_élevé
55,C1334695551,2,F,M151143676,es_barsandrestaurants,390.35,1,9.032632885744867,montant_élevé
70,C1021896897,4,M,M480139044,es_health,1510.34,1,8.97565798566487,montant_élevé
116,C1468001998,3,F,M1198415165,es_wellnessandbeauty,650.14,1,8.938060851680877,montant_élevé
87,C506520283,4,F,M151143676,es_barsandrestaurants,384.62,1,8.883429571508488,montant_élevé
29,C365096731,3,M,M151143676,es_barsandrestaurants,384.47,1,8.87952372558607,montant_élevé
92,C617723960,4,F,M1198415165,es_wellnessandbeauty,646.15,1,8.877059983986365,montant_élevé
51,C811312110,3,F,M1535107174,es_wellnessandbeauty,644.44,1,8.850916754974433,montant_élevé
157,C1375316332,1,F,M151143676,es_barsandrestaurants,382.52,1,8.828747728594632,montant_élevé
147,C1509106340,4,F,M1535107174,es_wellnessandbeauty,641.51,1,8.806121631579716,montant_élevé
155,C1163388474,2,F,M1535107174,es_wellnessandbeauty,640.55,1,8.791444731081787,montant_élevé
111,C449179311,2,M,M547558035,es_fashion,546.79,1,8.670778454711327,montant_élevé
166,C1355509614,4,M,M547558035,es_fashion,545.88,1,8.654378485204502,montant_élevé
171,C2082187659,2,M,M480139044,es_health,1449.38,1,8.577644823132788,montant_élevé
26,C1463141739,3,M,M209847108,es_wellnessandbeauty,625.06,1,8.554626826172521,montant_élevé
106,C1871125244,U,E,M855959430,es_hyper,434.17,1,8.52465365352332,montant_élevé
57,C1803182614,2,M,M547558035,es_fashion,538.58,1,8.522818290259643,montant_élevé
73,C2004941826,2,F,M1198415165,es_wellnessandbeauty,621.4,1,8.498671143024174,montant_élevé
40,C1728122351,3,F,M547558035,es_fashion,531.43,1,8.39396138699173,montant_élevé
131,C750714109,3,F,M855959430,es_hyper,427.24,1,8.372474586148945,montant_élevé
141,C1994736634,4,F,M480139044,es_health,1412.63,1,8.337700864421272,montant_élevé
174,C483912131,2,F,M1198415165,es_wellnessandbeauty,608.32,1,8.298698373739914,montant_élevé
124,C60026962,2,F,M209847108,es_wellnessandbeauty,607.79,1,8.290595501590015,montant_élevé
145,C842993265,2,F,M1535107174,es_wellnessandbeauty,606.71,1,8.274083988529847,montant_élevé
60,C16723337,4,M,M480139044,es_health,1399.56,1,8.252365693255026,montant_élevé
95,C1777502922,2,F,M855959430,es_hyper,421.47,1,8.245768493977208,montant_élevé
10,C1931900243,5,F,M209847108,es_wellnessandbeauty,604.59,1,8.241672499930258,montant_élevé
116,C1317710133,3,M,M480139044,es_health,1397.63,1,8.239764554743102,montant_élevé
163,C405168301,2,F,M151143676,es_barsandrestaurants,359.61,1,8.232194861377275,montant_élevé
89,C1420354861,2,F,M547558035,es_fashion,521.97,1,8.223473791898805,montant_élevé
126,C366397964,2,F,M855959430,es_hyper,420.06,1,8.214805653429174,montant_élevé
110,C179390259,4,F,M855959430,es_hyper,419.86,1,8.210413761152859,montant_élevé
105,C1350963410,5,F,M480139044,es_health,1392.59,1,8.206857954691237,montant_élevé
101,C483912131,2,F,M480139044,es_health,1388.69,1,8.181394514174913,montant_élevé
142,C1628244008,2,M,M1748431652,es_wellnessandbeauty,599.59,1,8.165230309836886,montant_élevé
117,C1350963410,5,F,M1535107174,es_wellnessandbeauty,597.02,1,8.125939024128892,montant_élevé
125,C644663928,2,M,M1198415165,es_wellnessandbeauty,596.56,1,8.118906342640301,montant_élevé
25,C1372042334,1,F,M1535107174,es_wellnessandbeauty,596.13,1,8.112332314292273,montant_élevé
157,C826734487,4,F,M547558035,es_fashion,515.71,1,8.110656419247459,montant_élevé
63,C2011875751,4,M,M547558035,es_fashion,515.5,1,8.10687181089973,montant_élevé
133,C274747841,2,F,M151143676,es_barsandrestaurants,354.65,1,8.103041556209307,montant_élevé
87,C142595093,1,F,M855959430,es_hyper,413.86,1,8.078656992863356,montant_élevé
119,C965421722,1,F,M855959430,es_hyper,410.76,1,8.010582662580447,montant_élevé
111,C1297100897,4,M,M480139044,es_health,1356.17,1,7.969068594792641,montant_élevé
0,C179390259,4,F,M547558035,es_fashion,506.77,1,7.949540235301286,montant_élevé
144,C715527139,1,M,M547558035,es_fashion,504.41,1,7.90700844625062,montant_élevé
157,C2027631548,2,F,M547558035,es_fashion,502.84,1,7.878713993365217,montant_élevé
7,C1928842916,2,M,M1535107174,es_wellnessandbeauty,580.48,1,7.873068259300018,montant_élevé
84,C608547225,2,F,M1535107174,es_wellnessandbeauty,580.19,1,7.868634612274603,montant_élevé
137,C990997956,2,F,M151143676,es_barsandrestaurants,344.72,1,7.844474556145216,montant_élevé
16,C2110878299,3,F,M1748431652,es_wellnessandbeauty,578.0,1,7.835152933013705,montant_élevé
99,C2126657609,2,F,M1535107174,es_wellnessandbeauty,577.27,1,7.823992373260072,montant_élevé
5,C1947369699,5,F,M1535107174,es_wellnessandbeauty,576.88,1,7.818029882432789,montant_élevé
173,C350034124,1,F,M855959430,es_hyper,400.85,1,7.7929644002889535,montant_élevé
164,C592765908,2,F,M1535107174,es_wellnessandbeauty,574.56,1,7.782560706229464,montant_élevé
163,C1680004438,2,F,M1198415165,es_wellnessandbeauty,568.71,1,7.69312334382022,montant_élevé
104,C1205257074,1,F,M480139044,es_health,1311.82,1,7.679503572510853,montant_élevé
37,C806399525,2,F,M855959430,es_hyper,395.61,1,7.677896822649456,montant_élevé
