total_transactions,query_name,total_customers,total_merchants,fraudulent_transactions,fraud_rate,montant_moyen,montant_min,montant_max,montant_total,category,nombre_transactions,volume_total,fraudulent_amount,merchant,gender,tranche_age,jour,transactions_frauduleuses,taux_fraude,customer,nombre_commercants,nombre_categories,id,step,age,zipcodeOri,zipMerchant,amount,fraud,zscore
594643.0,total_transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,total_customers,4112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,total_merchants,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
594643.0,fraud_statistics,,,7200.0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,
,amount_statistics,,,,,37.89,0.0,8329.96,22531103.73,,,,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,26.96,0.0,118.07,,es_transportation,505119.0,13617092.46,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,135.62,0.03,1972.81,,es_health,16133.0,2187979.51,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,2250.41,0.47,8329.96,,es_travel,728.0,1638297.89,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,65.51,0.02,750.51,,es_wellnessandbeauty,15086.0,988302.28,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,37.07,0.0,154.91,,es_food,26254.0,973246.41,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,215.72,0.11,1258.33,,es_sportsandtoys,4002.0,863292.55,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,65.67,0.01,773.61,,es_fashion,6454.0,423812.51,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,205.61,0.02,1429.04,,es_hotelservices,1744.0,358591.25,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,165.67,0.13,1540.23,,es_home,1986.0,329022.3,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,120.95,0.09,1305.35,,es_tech,2370.0,286646.61,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,45.97,0.02,488.02,,es_hyper,6098.0,280327.63,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,43.46,0.01,695.63,,es_barsandrestaurants,6373.0,276977.04,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,288.91,38.74,592.03,,es_leisure,499.0,144166.74,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,135.88,0.06,964.3,,es_otherservices,912.0,123923.95,,,,,,,,,,,,,,,,,,
,amount_by_category,,,,,44.55,0.01,185.13,,es_contents,885.0,39424.6,,,,,,,,,,,,,,,,,,
499.0,fraud_by_category,,,474.0,94.99,,,,,es_leisure,,,142335.98,,,,,,,,,,,,,,,,,
728.0,fraud_by_category,,,578.0,79.4,,,,,es_travel,,,1537944.06,,,,,,,,,,,,,,,,,
4002.0,fraud_by_category,,,1982.0,49.53,,,,,es_sportsandtoys,,,684517.02,,,,,,,,,,,,,,,,,
