id,step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud,zscore
569886,173,C350034124,1,F,28007,M151143676,28007,es_barsandrestaurants,695.63,1,16.98
401821,127,C1869939691,4,F,28007,M151143676,28007,es_barsandrestaurants,655.59,1,15.94
347339,112,C1468001998,3,F,28007,M151143676,28007,es_barsandrestaurants,558.5,1,13.41
451001,141,C413065793,2,F,28007,M547558035,28007,es_fashion,773.61,1,12.76
546793,167,C1560904250,5,F,28007,M480139044,28007,es_health,1972.81,1,12.0
32775,12,C2087715408,3,F,28007,M151143676,28007,es_barsandrestaurants,500.54,1,11.9
96276,35,C1275518867,5,F,28007,M547558035,28007,es_fashion,705.42,1,11.53
553814,169,C910454738,4,F,28007,M151143676,28007,es_barsandrestaurants,480.63,1,11.38
483682,150,C245117318,3,F,28007,M480139044,28007,es_health,1795.12,1,10.84
306346,100,C553434543,2,M,28007,M547558035,28007,es_fashion,657.5,1,10.67
515729,158,C1586862598,3,M,28007,M1198415165,28007,es_wellnessandbeauty,750.51,1,10.47
209747,71,C2004941826,2,F,28007,M480139044,28007,es_health,1717.73,1,10.33
369927,118,C667215072,3,F,28007,M547558035,28007,es_fashion,625.81,1,10.1
454366,142,C1175850429,4,M,28007,M480139044,28007,es_health,1658.57,1,9.94
74613,27,C1312615175,4,F,28007,M1198415165,28007,es_wellnessandbeauty,713.98,1,9.91
57419,21,C1947400039,2,M,28007,M855959430,28007,es_hyper,488.02,1,9.71
394897,125,C309177915,3,M,28007,M547558035,28007,es_fashion,601.4,1,9.66
525997,161,C381007057,1,F,28007,M480139044,28007,es_health,1608.95,1,9.62
106573,38,C231476583,1,M,28007,M855959430,28007,es_hyper,477.46,1,9.48
271983,90,C1475317372,1,F,28007,M1535107174,28007,es_wellnessandbeauty,685.16,1,9.47
358451,115,C694265356,3,F,28007,M840466850,28007,es_tech,1305.35,1,9.32
549130,167,C870503362,2,F,28007,M1198415165,28007,es_wellnessandbeauty,665.98,1,9.18
587463,178,C381007057,1,F,28007,M855959430,28007,es_hyper,460.33,1,9.1
302557,99,C2130894809,2,F,28007,M1198415165,28007,es_wellnessandbeauty,659.1,1,9.08
296470,97,C723509264,4,F,28007,M1535107174,28007,es_wellnessandbeauty,656.62,1,9.04
159095,55,C1334695551,2,F,28007,M151143676,28007,es_barsandrestaurants,390.35,1,9.03
204679,70,C1021896897,4,M,28007,M480139044,28007,es_health,1510.34,1,8.98
363185,116,C1468001998,3,F,28007,M1198415165,28007,es_wellnessandbeauty,650.14,1,8.94
263318,87,C506520283,4,F,28007,M151143676,28007,es_barsandrestaurants,384.62,1,8.88
78637,29,C365096731,3,M,28007,M151143676,28007,es_barsandrestaurants,384.47,1,8.88
280173,92,C617723960,4,F,28007,M1198415165,28007,es_wellnessandbeauty,646.15,1,8.88
144893,51,C811312110,3,F,28007,M1535107174,28007,es_wellnessandbeauty,644.44,1,8.85
511088,157,C1375316332,1,F,28007,M151143676,28007,es_barsandrestaurants,382.52,1,8.83
472624,147,C1509106340,4,F,28007,M1535107174,28007,es_wellnessandbeauty,641.51,1,8.81
503096,155,C1163388474,2,F,28007,M1535107174,28007,es_wellnessandbeauty,640.55,1,8.79
345797,111,C449179311,2,M,28007,M547558035,28007,es_fashion,546.79,1,8.67
545424,166,C1355509614,4,M,28007,M547558035,28007,es_fashion,545.88,1,8.66
562974,171,C2082187659,2,M,28007,M480139044,28007,es_health,1449.38,1,8.58
69253,26,C1463141739,3,M,28007,M209847108,28007,es_wellnessandbeauty,625.06,1,8.55
325729,106,C1871125244,U,E,28007,M855959430,28007,es_hyper,434.17,1,8.53
163807,57,C1803182614,2,M,28007,M547558035,28007,es_fashion,538.58,1,8.52
216121,73,C2004941826,2,F,28007,M1198415165,28007,es_wellnessandbeauty,621.4,1,8.5
110644,40,C1728122351,3,F,28007,M547558035,28007,es_fashion,531.43,1,8.39
414303,131,C750714109,3,F,28007,M855959430,28007,es_hyper,427.24,1,8.37
451466,141,C1994736634,4,F,28007,M480139044,28007,es_health,1412.63,1,8.34
575390,174,C483912131,2,F,28007,M1198415165,28007,es_wellnessandbeauty,608.32,1,8.3
389610,124,C60026962,2,F,28007,M209847108,28007,es_wellnessandbeauty,607.79,1,8.29
467887,145,C842993265,2,F,28007,M1535107174,28007,es_wellnessandbeauty,606.71,1,8.27
172873,60,C16723337,4,M,28007,M480139044,28007,es_health,1399.56,1,8.25
289156,95,C1777502922,2,F,28007,M855959430,28007,es_hyper,421.47,1,8.25
25940,10,C1931900243,5,F,28007,M209847108,28007,es_wellnessandbeauty,604.59,1,8.24
364218,116,C1317710133,3,M,28007,M480139044,28007,es_health,1397.63,1,8.24
532393,163,C405168301,2,F,28007,M151143676,28007,es_barsandrestaurants,359.61,1,8.23
269175,89,C1420354861,2,F,28007,M547558035,28007,es_fashion,521.97,1,8.22
398514,126,C366397964,2,F,28007,M855959430,28007,es_hyper,420.06,1,8.22
342639,110,C179390259,4,F,28007,M855959430,28007,es_hyper,419.86,1,8.21
324558,105,C1350963410,5,F,28007,M480139044,28007,es_health,1392.59,1,8.21
310100,101,C483912131,2,F,28007,M480139044,28007,es_health,1388.69,1,8.18
456119,142,C1628244008,2,M,28007,M1748431652,28007,es_wellnessandbeauty,599.59,1,8.17
364978,117,C1350963410,5,F,28007,M1535107174,28007,es_wellnessandbeauty,597.02,1,8.13
393468,125,C644663928,2,M,28007,M1198415165,28007,es_wellnessandbeauty,596.56,1,8.12
66912,25,C1372042334,1,F,28007,M1535107174,28007,es_wellnessandbeauty,596.13,1,8.11
511758,157,C826734487,4,F,28007,M547558035,28007,es_fashion,515.71,1,8.11
181755,63,C2011875751,4,M,28007,M547558035,28007,es_fashion,515.5,1,8.11
422817,133,C274747841,2,F,28007,M151143676,28007,es_barsandrestaurants,354.65,1,8.1
262193,87,C142595093,1,F,28007,M855959430,28007,es_hyper,413.86,1,8.08
372728,119,C965421722,1,F,28007,M855959430,28007,es_hyper,410.76,1,8.01
344599,111,C1297100897,4,M,28007,M480139044,28007,es_health,1356.17,1,7.97
2212,0,C179390259,4,F,28007,M547558035,28007,es_fashion,506.77,1,7.95
463131,144,C715527139,1,M,28007,M547558035,28007,es_fashion,504.41,1,7.91
509770,157,C2027631548,2,F,28007,M547558035,28007,es_fashion,502.84,1,7.88
18621,7,C1928842916,2,M,28007,M1535107174,28007,es_wellnessandbeauty,580.48,1,7.87
250653,84,C608547225,2,F,28007,M1535107174,28007,es_wellnessandbeauty,580.19,1,7.87
437273,137,C990997956,2,F,28007,M151143676,28007,es_barsandrestaurants,344.72,1,7.85
42894,16,C2110878299,3,F,28007,M1748431652,28007,es_wellnessandbeauty,578.0,1,7.84
303046,99,C2126657609,2,F,28007,M1535107174,28007,es_wellnessandbeauty,577.27,1,7.82
14573,5,C1947369699,5,F,28007,M1535107174,28007,es_wellnessandbeauty,576.88,1,7.82
571199,173,C350034124,1,F,28007,M855959430,28007,es_hyper,400.85,1,7.79
538463,164,C592765908,2,F,28007,M1535107174,28007,es_wellnessandbeauty,574.56,1,7.78
533023,163,C1680004438,2,F,28007,M1198415165,28007,es_wellnessandbeauty,568.71,1,7.69
321534,104,C1205257074,1,F,28007,M480139044,28007,es_health,1311.82,1,7.68
101193,37,C806399525,2,F,28007,M855959430,28007,es_hyper,395.61,1,7.68
67789,25,C1237248073,3,F,28007,M78078399,28007,es_wellnessandbeauty,567.69,1,7.68
361249,116,C440694138,2,F,28007,M480139044,28007,es_health,1310.93,1,7.67
388069,123,C896659218,4,F,28007,M480139044,28007,es_health,1309.23,1,7.66
201192,69,C179196508,3,F,28007,M78078399,28007,es_wellnessandbeauty,566.31,1,7.66
121578,43,C1892148523,2,F,28007,M1198415165,28007,es_wellnessandbeauty,565.94,1,7.65
172773,60,C993027768,3,F,28007,M1535107174,28007,es_wellnessandbeauty,564.48,1,7.63
511087,157,C1476505660,1,F,28007,M151143676,28007,es_barsandrestaurants,335.5,1,7.6
116346,42,C1771537982,2,M,28007,M151143676,28007,es_barsandrestaurants,335.35,1,7.6
75203,28,C1272326382,1,M,28007,M480139044,28007,es_health,1298.23,1,7.59
474050,147,C201406562,3,M,28007,M1198415165,28007,es_wellnessandbeauty,561.35,1,7.58
102554,37,C297432139,2,F,28007,M855959430,28007,es_hyper,390.99,1,7.58
155100,54,C1248026439,4,M,28007,M480139044,28007,es_health,1289.13,1,7.53
310711,101,C1709958311,6,M,28007,M855959430,28007,es_hyper,388.84,1,7.53
531267,162,C2144562698,1,F,28007,M480139044,28007,es_health,1286.23,1,7.51
244964,82,C1289834917,2,F,28007,M855959430,28007,es_hyper,387.81,1,7.51
422818,133,C616715154,2,F,28007,M151143676,28007,es_barsandrestaurants,331.63,1,7.5
423258,133,C1434797923,3,M,28007,M480139044,28007,es_health,1284.7,1,7.5
63551,24,C1248026439,4,M,28007,M1535107174,28007,es_wellnessandbeauty,555.83,1,7.5
114026,41,C417267123,2,F,28007,M840466850,28007,es_tech,1071.69,1,7.49
463295,144,C1107442215,2,F,28007,M1198415165,28007,es_wellnessandbeauty,552.48,1,7.45
